id,image_uri,prompt,neural_network
1,images_search\1_O.png,Диаграмма use-case,OCTAVE
2,images_search\2_O.png,Диаграмма use-case,OCTAVE
3,images_search\3_O.png,Диаграмма классов,OCTAVE
4,images_search\4_O.png,Бизнес модель гения,OCTAVE
5,images_search\5_O.png,Бизнес модель гения,OCTAVE
6,images_search\6_O.png,Бизнес модель гения,OCTAVE
7,images_search\7_O.png,Бизнес модель гения,OCTAVE
